"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2021","232.00","230.00","236.00","230.00","1.13M","1.31%"
"11/02/2021","229.00","240.40","241.20","229.00","2.08M","-2.64%"
"10/29/2021","235.20","240.40","241.20","234.00","759.74K","-2.49%"
"10/28/2021","241.20","244.20","244.60","240.00","642.37K","-1.23%"
"10/27/2021","244.20","236.20","244.20","236.20","1.38M","3.83%"
"10/26/2021","235.20","228.00","235.20","227.00","1.20M","3.61%"
"10/25/2021","227.00","225.40","229.00","225.20","467.90K","0.80%"
"10/22/2021","225.20","230.80","230.80","224.00","520.76K","-2.51%"
"10/21/2021","231.00","229.20","231.00","224.00","696.54K","1.05%"
"10/20/2021","228.60","228.00","230.00","227.00","532.41K","0.62%"
"10/19/2021","227.20","227.00","229.00","224.00","376.00K","-0.96%"
"10/18/2021","229.40","229.80","231.00","218.20","767.38K","-0.17%"
"10/15/2021","229.80","229.80","234.80","226.00","1.26M","0.00%"
"10/14/2021","229.80","219.00","229.80","219.00","2.67M","6.39%"
"10/13/2021","216.00","217.80","217.80","215.00","537.32K","-0.83%"
"10/12/2021","217.80","210.00","219.00","210.00","1.40M","4.51%"
"10/11/2021","208.40","206.00","212.40","205.40","381.41K","1.66%"
"10/08/2021","205.00","211.20","214.00","205.00","920.88K","-2.38%"
"10/07/2021","210.00","204.20","211.80","204.20","1.85M","3.35%"
"10/06/2021","203.20","203.00","206.80","200.40","730.66K","0.10%"
"10/05/2021","203.00","198.40","203.00","198.20","225.63K","2.32%"
"10/04/2021","198.40","202.00","202.00","198.40","300.62K","-1.78%"
"10/01/2021","202.00","204.80","204.80","201.20","495.52K","-1.46%"
"09/30/2021","205.00","197.00","205.00","196.20","427.19K","4.59%"
